id,CCTV,피시방,버스정류장,공원,교차로,교회,스쿨존,놀이터,옐로카펫,위험지역,학원,target,경도,위도
12635,0,0,5,0,0,0,0,0,0,0,9,1,129.0243129,35.15884085
12634,0,0,6,3,0,0,0,1,0,0,4,1,129.0243129,35.16184085
12637,0,2,5,0,2,1,0,0,0,0,9,1,129.0243129,35.15284085
12974,0,0,5,2,0,0,1,2,0,0,8,1,129.0315129,35.17384085
12999,0,3,12,0,1,0,0,0,0,2,2,1,129.0315129,35.09884085
12804,0,0,8,0,0,0,2,1,0,0,3,1,129.0279129,35.16784085
13306,0,1,8,1,0,0,0,1,0,0,5,1,129.0387129,35.20984085
13167,0,0,7,0,0,1,2,0,0,3,2,1,129.0351129,35.11084085
13135,0,0,9,0,0,0,1,0,1,0,3,1,129.0351129,35.20684085
13134,0,0,4,1,0,1,1,2,0,1,12,1,129.0351129,35.20984085
19631,0,0,9,0,0,0,0,2,0,0,15,1,129.1719129,35.32684085
11281,0,0,0,0,0,0,0,1,0,0,6,1,128.9955129,35.09284085
19510,0,0,8,0,1,0,2,3,0,0,5,1,129.1683129,35.17384085
11762,0,2,6,0,1,0,2,0,0,1,12,1,129.0063129,35.19784085
11758,1,2,6,0,1,0,2,2,0,6,2,1,129.0063129,35.20984085
19855,1,2,9,0,2,0,0,0,0,0,15,1,129.1755129,35.17084085
19853,0,0,10,0,2,0,2,1,0,0,12,1,129.1755129,35.17684085
3522,0,1,9,1,1,0,0,1,0,0,4,1,128.8335129,35.14984085
11605,0,1,9,0,1,0,0,3,0,1,3,1,129.0027129,35.15284085
11922,0,0,5,1,0,0,0,0,0,2,9,1,129.0099129,35.23384085
11921,0,2,0,1,0,0,0,1,0,0,8,1,129.0099129,35.23684085
11925,0,1,5,0,0,0,0,0,0,3,5,1,129.0099129,35.22484085
11929,0,0,3,0,1,0,0,0,0,4,6,1,129.0099129,35.21284085
20200,0,0,7,1,0,0,1,1,1,0,8,1,129.1827129,35.16784085
20027,0,2,13,2,0,1,1,2,0,0,3,1,129.1791129,35.17084085
20025,0,0,7,1,0,0,2,4,0,0,2,1,129.1791129,35.17684085
19977,0,2,14,2,0,0,0,1,0,1,3,1,129.1791129,35.32084085
12089,0,1,6,2,0,1,1,3,0,1,4,1,129.0135129,35.24884085
10425,0,0,10,0,1,1,4,0,0,1,3,1,128.9775129,35.08084085
10409,0,0,5,1,0,0,0,6,0,0,2,1,128.9775129,35.12884085
10245,0,0,8,0,0,0,1,0,1,0,16,1,128.9739129,35.10484085
10249,0,1,4,0,0,2,0,2,0,0,8,1,128.9739129,35.09284085
10741,0,8,4,1,0,1,0,1,0,1,0,1,128.9847129,35.16484085
10603,0,0,7,0,0,0,2,1,0,0,6,1,128.9811129,35.06284085
10602,0,0,12,2,0,0,1,1,0,0,6,1,128.9811129,35.06584085
10568,0,1,4,0,0,0,3,1,0,3,8,1,128.9811129,35.16784085
19169,1,2,12,1,1,2,0,0,0,0,4,1,129.1611129,35.16484085
10763,0,0,7,0,0,1,0,2,0,0,6,1,128.9847129,35.09884085
11246,0,0,8,0,0,1,0,1,0,0,8,1,128.9955129,35.19784085
17611,0,0,9,0,0,1,3,0,1,0,1,1,129.1287129,35.19484085
17442,0,3,8,0,0,1,1,0,0,0,8,1,129.1251129,35.18584085
17445,0,0,12,0,0,0,0,0,0,0,7,1,129.1251129,35.17684085
17437,0,1,5,2,0,0,0,0,0,0,9,1,129.1251129,35.20084085
17792,3,1,5,0,1,0,0,0,0,0,14,1,129.1323129,35.16784085
9554,0,0,2,0,0,0,0,0,0,5,2,1,128.9595129,35.11384085
9559,0,0,8,1,0,0,3,2,0,3,15,1,128.9595129,35.09884085
10237,0,0,6,0,0,0,3,0,0,0,12,1,128.9739129,35.12884085
18310,0,0,9,0,0,0,2,4,0,0,1,1,129.1431129,35.16184085
10091,0,0,9,0,0,0,2,1,0,0,6,1,128.9703129,35.05084085
10089,0,0,7,1,1,0,0,0,0,1,5,1,128.9703129,35.05684085
16597,1,1,7,0,2,0,0,0,0,6,16,1,129.1071129,35.14084085
16596,0,0,0,0,0,1,3,0,1,0,11,1,129.1071129,35.14384085
16584,0,1,5,0,0,1,1,2,0,0,7,1,129.1071129,35.17984085
16590,0,0,6,0,0,1,2,5,0,0,2,1,129.1071129,35.16184085
16404,0,0,9,1,0,0,2,2,0,0,2,1,129.1035129,35.20384085
16409,0,1,2,1,0,0,0,0,0,2,10,1,129.1035129,35.18884085
16415,0,0,3,0,0,1,1,1,0,1,10,1,129.1035129,35.17084085
16412,0,0,10,0,0,0,1,2,0,0,3,1,129.1035129,35.17984085
16769,0,2,3,0,0,1,1,3,0,0,15,1,129.1107129,35.14084085
16768,1,0,5,0,1,1,1,0,0,2,15,1,129.1107129,35.14384085
16775,0,0,2,0,0,1,1,0,0,0,8,1,129.1107129,35.12284085
16774,0,0,6,1,0,0,2,0,0,2,3,1,129.1107129,35.12584085
16766,0,0,7,0,0,0,1,1,0,3,2,1,129.1107129,35.14984085
16764,0,0,5,0,0,0,1,0,0,2,3,1,129.1107129,35.15584085
16750,0,0,7,0,0,1,0,1,0,0,7,1,129.1107129,35.19784085
