행정구역명,위치,총인구수,남자 인구수,여자 인구수
　　　창원시,창원시청,1075168,546530,528638
　　　진주시,진주시청,340241,168480,171761
　　　통영시,통영시청,139439,70639,68800
　　　사천시,사천시청,116485,58392,58093
　　　김해시,김해시청,527240,266361,260879
　　　밀양시,밀양시청,107765,52759,55006
　　　거제시,거제시청,248287,130708,117579
　　　양산시,양산시청,292376,147189,145187
　　　의령군,의령군청,29209,14081,15128
　　　함안군,함안군청,68741,34611,34130
　　　창녕군,창녕군청,63502,31355,32147
　　　고성군,고성군청,55916,28020,27896
　　　남해군,남해군청,46638,22247,24391
　　　하동군,하동군청,49223,24276,24947
　　　산청군,산청군청,35849,17531,18318
　　　함양군,함양군청,40584,19386,21198
　　　거창군,거창군청,63137,30581,32556
　　　합천군,합천군청,50457,23968,26489
