id,CCTV,피시방,버스정류장,공원,교차로,교회,스쿨존,놀이터,옐로카펫,위험지역,학원,target
12642,0,0,0,0,0,0,0,0,0,0,0,0
12641,0,0,0,0,0,0,0,0,0,0,0,0
12640,0,0,0,0,0,0,0,0,0,0,0,0
12647,0,0,0,0,0,0,0,0,0,0,0,0
12646,0,0,0,0,0,0,0,0,0,0,0,0
12645,0,0,0,0,0,0,0,0,0,0,0,0
12644,0,0,0,0,0,0,0,0,0,0,0,0
12651,0,0,8,0,0,1,0,0,0,1,0,0
12650,0,0,6,0,0,0,0,0,0,0,1,0
12649,0,0,4,0,0,0,0,0,0,0,6,0
12648,0,0,0,0,0,0,0,0,0,0,0,0
12655,0,1,9,0,1,1,0,0,0,4,1,1
12654,0,2,7,0,2,0,0,0,0,3,1,0
12653,0,2,6,0,0,1,2,0,1,1,1,0
12652,0,0,2,0,0,1,0,0,0,1,1,0
12627,0,0,0,0,0,0,0,0,0,0,0,0
12626,0,0,0,0,0,0,0,0,0,0,0,0
12625,0,0,0,0,0,0,0,0,0,0,0,0
12624,0,0,0,0,0,0,0,0,0,0,0,0
12631,0,0,2,0,0,0,0,0,0,0,0,0
12630,0,0,0,1,0,0,0,1,0,0,0,0
12629,0,0,0,0,0,0,0,0,0,0,0,0
12628,0,0,0,0,0,0,0,0,0,0,0,0
12635,0,0,5,0,0,0,0,0,0,0,9,1
12634,0,0,6,3,0,0,0,1,0,0,4,0
12633,0,0,1,0,0,0,1,1,0,0,1,0
12632,0,0,0,0,0,0,0,0,0,0,1,0
12639,0,0,2,0,0,0,0,0,0,0,2,0
12638,0,0,2,0,0,0,1,0,0,0,5,1
12637,0,2,5,0,2,1,0,0,0,0,9,1
12636,0,1,6,0,0,1,1,0,0,1,2,0
12611,0,0,0,0,0,0,0,0,0,0,0,0
12610,0,0,0,0,0,0,0,0,0,0,0,0
12609,0,0,0,0,0,0,0,0,0,0,0,0
20851,0,0,0,0,0,0,0,0,0,0,0,0
12608,0,0,2,1,0,0,0,0,0,0,0,0
20850,0,0,0,0,0,0,0,0,0,0,0,0
12615,0,0,0,0,0,0,0,0,0,0,0,0
20849,0,0,0,0,0,0,0,0,0,0,0,0
12614,0,0,0,0,0,0,0,0,0,0,0,0
20848,0,0,0,0,0,0,0,0,0,0,0,0
12613,0,0,0,0,0,0,0,0,0,0,0,0
20855,0,0,0,0,0,0,0,0,0,0,0,0
12612,0,0,0,0,0,0,0,0,0,0,0,0
20854,0,0,0,0,0,0,0,0,0,0,0,0
12619,0,0,0,0,0,0,0,0,0,0,0,0
20853,0,0,0,0,0,0,0,0,0,0,0,0
12618,0,0,4,0,0,0,2,1,0,0,2,0
20852,0,0,0,0,0,0,0,0,0,0,0,0
12617,0,0,9,0,1,0,0,3,0,0,3,0
20859,0,0,0,0,0,0,0,0,0,0,0,0
12616,0,0,6,1,0,0,1,2,0,0,1,0
20858,0,0,0,0,0,0,0,0,0,0,0,0
12623,0,0,0,0,0,0,0,0,0,0,0,0
20857,0,0,0,0,0,0,0,0,0,0,0,0
12622,0,0,0,0,0,0,0,0,0,0,0,0
20856,0,0,0,0,0,0,0,0,0,0,0,0
12621,0,0,0,0,0,0,0,0,0,0,0,0
20863,0,0,0,0,0,0,0,0,0,0,0,0
12620,0,0,0,0,0,0,0,0,0,0,0,0
20862,0,0,0,0,0,0,0,0,0,0,0,0
12979,1,0,5,0,1,0,0,0,0,1,0,0
20861,0,0,0,0,0,0,0,0,0,0,0,0
12978,0,0,0,1,0,1,1,0,0,0,3,0
4419,0,0,0,0,0,0,0,0,0,0,0,0
20860,0,0,0,0,0,0,0,0,0,0,0,0
12977,1,0,4,0,0,2,0,0,0,0,0,0
4418,0,0,0,0,0,0,0,0,0,0,0,0
20835,0,0,0,0,0,0,0,0,0,0,0,0
12976,0,0,4,0,0,2,0,0,0,0,2,0
4417,0,0,0,0,0,0,0,0,0,0,0,0
20834,0,0,0,0,0,0,0,0,0,0,0,0
12983,0,0,3,0,0,0,0,0,0,0,0,0
4416,0,0,0,0,0,0,0,0,0,0,0,0
20833,0,0,0,0,0,0,0,0,0,0,0,0
12982,0,1,1,0,0,0,0,0,0,1,1,0
20832,0,0,0,0,0,0,0,0,0,0,0,0
12981,2,0,5,0,0,0,0,1,0,4,1,0
20839,0,0,0,0,0,0,0,0,0,0,0,0
12980,0,0,1,0,0,0,0,0,0,0,0,0
20838,0,0,2,0,0,0,0,1,0,0,0,0
12987,0,0,0,0,0,0,0,0,0,0,0,0
20837,0,0,8,0,0,0,0,0,0,0,0,0
12986,0,0,0,0,0,0,0,0,0,0,0,0
20836,0,0,2,0,0,0,0,0,0,0,0,0
12985,0,0,0,0,0,0,0,0,0,0,0,0
20843,0,0,0,0,0,0,0,0,0,0,0,0
12984,0,0,0,0,0,0,0,0,0,0,0,0
20842,0,0,0,0,0,0,0,0,0,0,0,0
12991,0,0,0,0,0,0,0,0,0,0,0,0
20841,0,0,0,0,0,0,0,0,0,0,0,0
12990,0,0,0,0,0,0,0,0,0,0,0,0
20840,0,0,0,0,0,0,0,0,0,0,0,0
12989,0,0,0,0,0,0,0,0,0,0,0,0
20847,0,0,0,0,0,0,0,0,0,0,0,0
12988,0,0,0,0,0,0,0,0,0,0,0,0
20846,0,0,0,0,0,0,0,0,0,0,0,0
12963,0,0,2,0,0,0,1,2,0,0,3,0
20845,0,0,0,0,0,0,0,0,0,0,0,0
12962,0,0,4,0,0,0,0,1,0,1,3,0
20844,0,0,0,0,0,0,0,0,0,0,0,0
12961,0,0,3,2,0,0,1,3,0,0,2,0
20819,0,0,0,0,0,0,0,0,0,0,0,0
12960,0,0,3,1,0,0,0,0,0,0,0,0
20818,0,0,0,0,0,0,0,0,0,0,0,0
12967,0,0,0,0,0,0,0,0,0,0,0,0
20817,0,0,0,0,0,0,0,0,0,0,0,0
12966,0,0,0,0,0,0,0,0,0,0,0,0
20816,0,0,0,0,0,0,0,0,0,0,0,0
12965,0,0,0,0,0,0,0,0,0,0,0,0
20823,0,0,0,0,0,0,0,0,0,0,0,0
12964,0,0,4,1,0,0,2,1,0,0,1,0
20822,0,0,0,0,0,0,0,0,0,0,0,0
12971,0,0,0,0,0,0,0,0,0,0,0,0
20821,0,0,0,0,0,0,0,0,0,0,0,0
12970,0,0,0,0,0,0,0,0,0,0,0,0
20820,0,0,0,0,0,0,0,0,0,0,0,0
12969,0,0,0,0,0,0,0,0,0,0,0,0
20827,0,0,0,0,0,0,0,0,0,0,0,0
12968,0,0,0,0,0,0,0,0,0,0,0,0
20826,0,0,0,0,0,0,0,0,0,0,0,0
12975,0,0,8,0,0,0,1,0,0,0,1,0
20825,0,0,0,0,0,0,0,0,0,0,0,0
12974,0,0,5,2,0,0,1,2,0,0,8,1
20824,0,0,0,0,0,0,0,0,0,0,0,0
